tender_id,category,tender_name,date,details__participants,details__disqualified_participants,details__committee_member
668cdae1f4bfa2b87d2c01e5,garden,medical equipment,2023-05-08,"[{""name"": ""samantha_brown"", ""amount"": 9930, ""isWinner"": false}, {""name"": ""henry_brown"", ""amount"": 8753, ""isWinner"": true}, {""name"": ""grace_adams"", ""amount"": 2985, ""isWinner"": true}]","[{""name"": ""Jane Smith"", ""reason"": ""late submission""}, {""name"": ""queen_smith"", ""reason"": ""invalid bid""}, {""name"": ""carol_davis"", ""reason"": ""incomplete documents""}]",John Doe
668cdae1f4bfa2b87d2c01e6,sports,software,2024-07-04,"[{""name"": ""samantha_brown"", ""amount"": 2949, ""isWinner"": true}, {""name"": ""grace_adams"", ""amount"": 2750, ""isWinner"": true}, {""name"": ""isabella_taylor"", ""amount"": 1255, ""isWinner"": true}]","[{""name"": ""samantha_brown"", ""reason"": ""late submission""}, {""name"": ""grace_adams"", ""reason"": ""late submission""}, {""name"": ""frank_wright"", ""reason"": ""late submission""}]",Alice Johnson
668cdae1f4bfa2b87d2c01e7,technology,sports gear,2024-08-15,"[{""name"": ""alice_smith"", ""amount"": 9537, ""isWinner"": true}, {""name"": ""nathan_hall"", ""amount"": 9229, ""isWinner"": false}, {""name"": ""carol_davis"", ""amount"": 2461, ""isWinner"": false}]","[{""name"": ""robert_adams"", ""reason"": ""invalid bid""}, {""name"": ""grace_adams"", ""reason"": ""not meeting criteria""}, {""name"": ""karen_wilson"", ""reason"": ""not meeting criteria""}]",Emma Black
668cdae1f4bfa2b87d2c01e8,entertainment,stationery,2024-05-28,"[{""name"": ""grace_adams"", ""amount"": 9076, ""isWinner"": true}, {""name"": ""bob_johnson"", ""amount"": 7137, ""isWinner"": false}, {""name"": ""bob_johnson"", ""amount"": 9834, ""isWinner"": true}]","[{""name"": ""robert_adams"", ""reason"": ""late submission""}, {""name"": ""frank_wright"", ""reason"": ""incomplete documents""}, {""name"": ""John Doe"", ""reason"": ""not meeting criteria""}]",Eve White
668cdae1f4bfa2b87d2c01e9,sports,software,2024-07-29,"[{""name"": ""Jane Smith"", ""amount"": 8937, ""isWinner"": false}, {""name"": ""peter_robinson"", ""amount"": 4784, ""isWinner"": true}, {""name"": ""jack_evans"", ""amount"": 7061, ""isWinner"": false}]","[{""name"": ""queen_smith"", ""reason"": ""incomplete documents""}, {""name"": ""peter_robinson"", ""reason"": ""not meeting criteria""}, {""name"": ""peter_robinson"", ""reason"": ""invalid bid""}]",Bob Brown
668cdae1f4bfa2b87d2c01ea,health,furniture,2024-11-12,"[{""name"": ""samantha_brown"", ""amount"": 4591, ""isWinner"": false}, {""name"": ""olivia_scott"", ""amount"": 5947, ""isWinner"": true}, {""name"": ""peter_robinson"", ""amount"": 9317, ""isWinner"": false}]","[{""name"": ""frank_wright"", ""reason"": ""late submission""}, {""name"": ""samantha_brown"", ""reason"": ""incomplete documents""}, {""name"": ""peter_robinson"", ""reason"": ""incomplete documents""}]",Emma Black
668cdae1f4bfa2b87d2c01eb,health,tools,2024-11-16,"[{""name"": ""John Doe"", ""amount"": 6351, ""isWinner"": false}, {""name"": ""henry_brown"", ""amount"": 2059, ""isWinner"": false}, {""name"": ""John Doe"", ""amount"": 2324, ""isWinner"": false}]","[{""name"": ""carol_davis"", ""reason"": ""incomplete documents""}, {""name"": ""henry_brown"", ""reason"": ""late submission""}, {""name"": ""alice_smith"", ""reason"": ""late submission""}]",Bob Brown
668cdae1f4bfa2b87d2c01ec,health,software,2024-12-30,"[{""name"": ""nathan_hall"", ""amount"": 7542, ""isWinner"": true}, {""name"": ""queen_smith"", ""amount"": 9770, ""isWinner"": false}, {""name"": ""peter_robinson"", ""amount"": 2818, ""isWinner"": false}]","[{""name"": ""grace_adams"", ""reason"": ""not meeting criteria""}, {""name"": ""queen_smith"", ""reason"": ""incomplete documents""}, {""name"": ""Jane Smith"", ""reason"": ""late submission""}]",Jane Smith
668cdae1f4bfa2b87d2c01ed,technology,medical equipment,2024-07-18,"[{""name"": ""John Doe"", ""amount"": 7533, ""isWinner"": false}, {""name"": ""robert_adams"", ""amount"": 2020, ""isWinner"": true}, {""name"": ""alice_smith"", ""amount"": 7002, ""isWinner"": true}]","[{""name"": ""isabella_taylor"", ""reason"": ""invalid bid""}, {""name"": ""eve_martin"", ""reason"": ""invalid bid""}, {""name"": ""karen_wilson"", ""reason"": ""not meeting criteria""}]",Emma Black
668cdae1f4bfa2b87d2c01ee,home,software,2024-12-26,"[{""name"": ""queen_smith"", ""amount"": 9890, ""isWinner"": false}, {""name"": ""jack_evans"", ""amount"": 4262, ""isWinner"": true}, {""name"": ""jack_evans"", ""amount"": 7336, ""isWinner"": true}]","[{""name"": ""alice_smith"", ""reason"": ""incomplete documents""}, {""name"": ""samantha_brown"", ""reason"": ""not meeting criteria""}, {""name"": ""isabella_taylor"", ""reason"": ""not meeting criteria""}]",Michael Green
668cf6eb1e1f899bbca85b67,office,tools,2023-06-10,"[{""name"": ""grace_adams"", ""amount"": 9811, ""isWinner"": true}, {""name"": ""isabella_taylor"", ""amount"": 5783, ""isWinner"": true}, {""name"": ""henry_brown"", ""amount"": 2551, ""isWinner"": false}]","[{""name"": ""jack_evans"", ""reason"": ""not meeting criteria""}, {""name"": ""bob_johnson"", ""reason"": ""invalid bid""}, {""name"": ""jack_evans"", ""reason"": ""late submission""}]",John Doe
668cf6eb1e1f899bbca85b68,home,electronics,2023-10-17,"[{""name"": ""nathan_hall"", ""amount"": 3709, ""isWinner"": false}, {""name"": ""queen_smith"", ""amount"": 3262, ""isWinner"": true}, {""name"": ""grace_adams"", ""amount"": 7586, ""isWinner"": true}]","[{""name"": ""robert_adams"", ""reason"": ""incomplete documents""}, {""name"": ""grace_adams"", ""reason"": ""incomplete documents""}, {""name"": ""bob_johnson"", ""reason"": ""incomplete documents""}]",Michael Green
668cf6eb1e1f899bbca85b69,home,entertainment system,2023-02-18,"[{""name"": ""John Doe"", ""amount"": 6964, ""isWinner"": false}, {""name"": ""carol_davis"", ""amount"": 1905, ""isWinner"": false}, {""name"": ""karen_wilson"", ""amount"": 5161, ""isWinner"": true}]","[{""name"": ""alice_smith"", ""reason"": ""late submission""}, {""name"": ""bob_johnson"", ""reason"": ""invalid bid""}, {""name"": ""olivia_scott"", ""reason"": ""late submission""}]",Michael Green
668cf6eb1e1f899bbca85b6a,sports,entertainment system,2024-04-06,"[{""name"": ""John Doe"", ""amount"": 9289, ""isWinner"": false}, {""name"": ""bob_johnson"", ""amount"": 5438, ""isWinner"": true}, {""name"": ""John Doe"", ""amount"": 2123, ""isWinner"": true}]","[{""name"": ""olivia_scott"", ""reason"": ""invalid bid""}, {""name"": ""samantha_brown"", ""reason"": ""not meeting criteria""}, {""name"": ""jack_evans"", ""reason"": ""not meeting criteria""}]",Emma Black
